algorithm,configuration,n_clusters,silhouette_score,davies_bouldin,calinski_harabasz,smallest_cluster_percentage,largest_cluster_percentage,noise_count,noise_percentage,cluster_sizes,fewer_than_two_clusters,noise_over_30_percent,has_cluster_below_1_percent,metrics_population,ari_vs_corresponding_kmeans,eps,min_samples
K-Means,k=3,3,0.31104915168375646,1.1229671800563585,4856.58754912021,25.859135760462742,37.87002381762504,0,0.0,"{""0"": 1520, ""1"": 2132, ""2"": 2226}",False,False,False,all customers,,,
K-Means,k=4,4,0.2935412421897503,1.1302531804078504,4343.732933219936,20.074855392990813,33.412725416808435,0,0.0,"{""0"": 1180, ""1"": 1223, ""2"": 1511, ""3"": 1964}",False,False,False,all customers,,,
Hierarchical,"k=3, linkage=ward, metric=euclidean",3,0.26386017549254737,1.2311511431017816,4099.305567065798,23.698536917318815,42.44641034365431,0,0.0,"{""0"": 1990, ""1"": 1393, ""2"": 2495}",False,False,False,all customers,0.5789580667087892,,
Hierarchical,"k=4, linkage=ward, metric=euclidean",4,0.24490770714405663,1.187278078669335,3568.171079247512,14.937053419530452,42.44641034365431,0,0.0,"{""0"": 2495, ""1"": 1393, ""2"": 1112, ""3"": 878}",False,False,False,all customers,0.5567993667275722,,
DBSCAN,"eps=0.3, min_samples=5",48,-0.3541239134391953,1.1386003323013323,183.35725114519914,0.03402517863218782,25.33174549166383,2215,37.68288533514801,"{""0"": 1364, ""1"": 1489, ""2"": 192, ""3"": 14, ""4"": 159, ""5"": 94, ""6"": 7, ""7"": 5, ""8"": 6, ""9"": 8, ""10"": 38, ""11"": 5, ""12"": 7, ""13"": 7, ""14"": 13, ""15"": 33, ""16"": 6, ""17"": 5, ""18"": 5, ""19"": 13, ""20"": 5, ""21"": 7, ""22"": 22, ""23"": 16, ""24"": 15, ""25"": 6, ""26"": 10, ""27"": 9, ""28"": 4, ""29"": 6, ""30"": 5, ""31"": 13, ""32"": 5, ""33"": 2, ""34"": 5, ""35"": 5, ""36"": 5, ""37"": 5, ""38"": 5, ""39"": 4, ""40"": 5, ""41"": 5, ""42"": 5, ""43"": 6, ""44"": 2, ""45"": 5, ""46"": 6, ""47"": 5}",False,True,True,non-noise customers only,,0.3,5.0
DBSCAN,"eps=0.3, min_samples=10",19,-0.0711582396688781,1.1405691638477795,502.8212934699034,0.13610071452875128,21.418849948962233,3399,57.825791085403196,"{""0"": 1259, ""1"": 697, ""2"": 87, ""3"": 119, ""4"": 54, ""5"": 43, ""6"": 35, ""7"": 17, ""8"": 51, ""9"": 14, ""10"": 10, ""11"": 9, ""12"": 13, ""13"": 14, ""14"": 19, ""15"": 11, ""16"": 11, ""17"": 8, ""18"": 8}",False,True,True,non-noise customers only,,0.3,10.0
DBSCAN,"eps=0.3, min_samples=15",10,-0.09366242054673013,0.9880540375697953,715.6493396373235,0.1701258931609391,19.63252807077237,4059,69.05410003402518,"{""0"": 1154, ""1"": 425, ""2"": 94, ""3"": 53, ""4"": 16, ""5"": 16, ""6"": 18, ""7"": 18, ""8"": 15, ""9"": 10}",False,True,True,non-noise customers only,,0.3,15.0
DBSCAN,"eps=0.3, min_samples=20",5,0.44904888796607667,0.7311979203058263,2656.821264782802,0.3402517863218782,11.840762164001362,4467,75.99523647499149,"{""0"": 696, ""1"": 330, ""2"": 81, ""3"": 284, ""4"": 20}",False,True,True,non-noise customers only,,0.3,20.0
DBSCAN,"eps=0.4, min_samples=5",9,-0.2589413355486315,1.0140543860826248,455.92259756169585,0.05103776794828172,58.3701939435182,859,14.613814222524669,"{""0"": 3431, ""1"": 1552, ""2"": 4, ""3"": 8, ""4"": 7, ""5"": 5, ""6"": 5, ""7"": 3, ""8"": 4}",False,False,True,non-noise customers only,,0.4,5.0
DBSCAN,"eps=0.4, min_samples=10",5,-0.2313836036663142,1.4341953616280132,908.9226936437057,0.1531133038448452,49.35352160598843,1506,25.620959510037427,"{""0"": 2901, ""1"": 1440, ""2"": 12, ""3"": 9, ""4"": 10}",False,False,True,non-noise customers only,,0.4,10.0
DBSCAN,"eps=0.4, min_samples=15",5,0.03581580981154031,1.1637022278946667,1313.3001733477545,0.23817625042531473,36.389928547124875,2053,34.9268458659408,"{""0"": 1400, ""1"": 2139, ""2"": 258, ""3"": 14, ""4"": 14}",False,True,True,non-noise customers only,,0.4,15.0
DBSCAN,"eps=0.4, min_samples=20",7,-0.0478520579559721,1.2294606911371317,865.1778712793348,0.11908812521265737,30.486560054440286,2555,43.46716570261994,"{""0"": 1336, ""1"": 1792, ""2"": 110, ""3"": 39, ""4"": 24, ""5"": 15, ""6"": 7}",False,True,True,non-noise customers only,,0.4,20.0
DBSCAN,"eps=0.5, min_samples=5",4,0.05029754626292385,0.9337138855231204,1145.1786869444977,0.06805035726437564,65.97482136781218,398,6.771010547805376,"{""0"": 3878, ""1"": 1593, ""2"": 5, ""3"": 4}",False,False,True,non-noise customers only,,0.5,5.0
DBSCAN,"eps=0.5, min_samples=10",3,0.23518597952452025,0.9807147936414934,1739.6401713420714,0.1531133038448452,63.167744130656686,601,10.22456617897244,"{""0"": 3713, ""1"": 1555, ""2"": 9}",False,False,True,non-noise customers only,,0.5,10.0
DBSCAN,"eps=0.5, min_samples=15",2,0.33877931742313155,0.9745876851061088,3421.17721526442,25.60394692072133,60.05444028581151,843,14.341612793467165,"{""0"": 3530, ""1"": 1505}",False,False,False,non-noise customers only,,0.5,15.0
DBSCAN,"eps=0.5, min_samples=20",2,0.34731587200550107,0.9555156131100021,3436.575847753023,24.906430758761484,57.17931269139163,1053,17.914256549846886,"{""0"": 3361, ""1"": 1464}",False,False,False,non-noise customers only,,0.5,20.0
DBSCAN,"eps=0.6, min_samples=5",3,-0.09896451471819696,1.1643451035602441,4.5618804607421595,0.06805035726437564,96.10411704661449,220,3.74276964954066,"{""0"": 5649, ""1"": 5, ""2"": 4}",False,False,True,non-noise customers only,,0.6,5.0
DBSCAN,"eps=0.6, min_samples=10",1,,,,94.6920721333787,94.6920721333787,312,5.3079278666212995,"{""0"": 5566}",True,False,False,non-noise customers only,,0.6,10.0
DBSCAN,"eps=0.6, min_samples=15",1,,,,93.50119088125213,93.50119088125213,382,6.498809118747874,"{""0"": 5496}",True,False,False,non-noise customers only,,0.6,15.0
DBSCAN,"eps=0.6, min_samples=20",1,,,,92.00408302143586,92.00408302143586,470,7.995916978564137,"{""0"": 5408}",True,False,False,non-noise customers only,,0.6,20.0
DBSCAN,"eps=0.7, min_samples=5",1,,,,97.97550187138484,97.97550187138484,119,2.0244981286151753,"{""0"": 5759}",True,False,False,non-noise customers only,,0.7,5.0
DBSCAN,"eps=0.7, min_samples=10",1,,,,96.80163320857434,96.80163320857434,188,3.1983667914256553,"{""0"": 5690}",True,False,False,non-noise customers only,,0.7,10.0
DBSCAN,"eps=0.7, min_samples=15",1,,,,95.76386526029262,95.76386526029262,249,4.236134739707383,"{""0"": 5629}",True,False,False,non-noise customers only,,0.7,15.0
DBSCAN,"eps=0.7, min_samples=20",1,,,,95.33855052739027,95.33855052739027,274,4.661449472609731,"{""0"": 5604}",True,False,False,non-noise customers only,,0.7,20.0
DBSCAN,"eps=0.8, min_samples=5",2,0.5566119687357151,0.3697840261494132,47.513069724608044,0.08506294658046955,98.80911874787343,65,1.1058183055461042,"{""0"": 5808, ""1"": 5}",False,False,True,non-noise customers only,,0.8,5.0
DBSCAN,"eps=0.8, min_samples=10",1,,,,98.26471588975842,98.26471588975842,102,1.7352841102415788,"{""0"": 5776}",True,False,False,non-noise customers only,,0.8,10.0
DBSCAN,"eps=0.8, min_samples=15",1,,,,97.61823749574685,97.61823749574685,140,2.3817625042531474,"{""0"": 5738}",True,False,False,non-noise customers only,,0.8,15.0
DBSCAN,"eps=0.8, min_samples=20",1,,,,97.26097312010889,97.26097312010889,161,2.7390268798911195,"{""0"": 5717}",True,False,False,non-noise customers only,,0.8,20.0
DBSCAN,"eps=0.9, min_samples=5",3,0.5552680270382244,0.539220398046747,33.6999893628581,0.03402517863218782,99.18339571282749,41,0.6975161619598503,"{""0"": 5830, ""1"": 5, ""2"": 2}",False,False,True,non-noise customers only,,0.9,5.0
DBSCAN,"eps=0.9, min_samples=10",1,,,,98.8771691051378,98.8771691051378,66,1.1228308948621981,"{""0"": 5812}",True,False,False,non-noise customers only,,0.9,10.0
DBSCAN,"eps=0.9, min_samples=15",1,,,,98.46886696155156,98.46886696155156,90,1.5311330384484518,"{""0"": 5788}",True,False,False,non-noise customers only,,0.9,15.0
DBSCAN,"eps=0.9, min_samples=20",1,,,,98.21367812181015,98.21367812181015,105,1.7863218781898604,"{""0"": 5773}",True,False,False,non-noise customers only,,0.9,20.0
DBSCAN,"eps=1.0, min_samples=5",2,0.5590797732984669,0.39684227210874895,66.69635506347477,0.11908812521265737,99.37053419530453,30,0.5103776794828173,"{""0"": 5841, ""1"": 7}",False,False,True,non-noise customers only,,1.0,5.0
DBSCAN,"eps=1.0, min_samples=10",1,,,,99.16638312351141,99.16638312351141,49,0.8336168764886015,"{""0"": 5829}",True,False,False,non-noise customers only,,1.0,10.0
DBSCAN,"eps=1.0, min_samples=15",1,,,,99.01326981966655,99.01326981966655,58,0.9867301803334467,"{""0"": 5820}",True,False,False,non-noise customers only,,1.0,15.0
DBSCAN,"eps=1.0, min_samples=20",1,,,,98.84314392650562,98.84314392650562,68,1.1568560734943858,"{""0"": 5810}",True,False,False,non-noise customers only,,1.0,20.0
