algorithm,configuration,cluster,customer_count,cluster_percentage,median_Recency,median_Frequency,median_MonetaryValue,median_TotalItems,median_UniqueProducts,median_AverageOrderValue,median_AverageItemsPerOrder,median_CustomerLifetimeDays
K-Means,k=3,0,1520,25.859135760462742,25.0,11.0,4153.389999999999,2350.0,155.5,351.21500000000003,202.54,622.0
K-Means,k=3,1,2132,36.27084042191221,406.0,1.0,266.895,144.0,16.0,206.12,109.75,0.0
K-Means,k=3,2,2226,37.87002381762504,72.0,3.0,990.175,550.0,52.0,285.195,164.225,287.5
K-Means,k=4,0,1180,20.074855392990813,74.5,1.0,338.195,195.0,19.0,216.63,126.0,0.0
K-Means,k=4,1,1223,20.80639673358285,23.0,13.0,4921.53,2860.0,175.0,368.32,213.4,643.0
K-Means,k=4,2,1511,25.706022456617898,475.0,1.0,311.77,159.0,19.0,219.85,114.0,0.0
K-Means,k=4,3,1964,33.412725416808435,70.0,4.0,1248.35,707.0,64.0,287.795,166.0,374.0
Hierarchical,"k=3, linkage=ward, metric=euclidean",0,1990,33.85505273902688,313.0,1.0,250.13,138.5,14.0,199.355,107.41499999999999,0.0
Hierarchical,"k=3, linkage=ward, metric=euclidean",1,1393,23.698536917318815,25.0,12.0,4452.71,2510.0,163.0,371.24,214.31,621.0
Hierarchical,"k=3, linkage=ward, metric=euclidean",2,2495,42.44641034365431,106.0,3.0,983.1,543.0,52.0,280.8,158.75,287.0
DBSCAN,"eps=0.5, min_samples=20",0,3361,57.17931269139163,51.0,5.0,1352.0,792.0,71.0,295.7,167.0,401.0
DBSCAN,"eps=0.5, min_samples=20",1,1464,24.906430758761484,387.0,1.0,226.665,131.0,17.0,226.665,131.0,0.0
