preprocessing_strategy,k,cluster,customer_count,cluster_percentage,median_Recency,median_Frequency,median_MonetaryValue,median_TotalItems,median_UniqueProducts,median_AverageOrderValue,median_AverageItemsPerOrder,median_CustomerLifetimeDays
standard,6,0,1570,26.70976522626744,61.0,2.0,507.75,297.5,28.0,258.75,150.0,32.0
standard,6,1,492,8.370193943518203,15.0,20.0,8089.15,4584.0,295.0,395.74,232.285,677.0
standard,6,2,1999,34.00816604287172,48.0,6.0,1821.9,1010.0,81.0,298.09,167.75,521.0
standard,6,3,20,0.3402517863218782,3.5,114.0,102305.70000000001,59735.0,530.0,626.9000000000001,473.47,733.0
standard,6,4,4,0.06805035726437564,2.0,153.5,421020.07,172985.0,1203.5,2754.95,1153.045,736.5
standard,6,5,1793,30.503572643756378,446.0,1.0,359.4,194.0,22.0,229.2,122.0,0.0
standard,7,0,1862,31.677441306566863,51.0,6.0,1708.98,946.5,74.0,294.48,165.10500000000002,511.0
standard,7,1,1790,30.452534875808094,446.0,1.0,359.375,194.0,22.0,229.07999999999998,122.0,0.0
standard,7,2,8,0.13610071452875128,2.0,205.5,114191.66500000001,64540.5,1354.0,555.71,313.78,735.0
standard,7,3,611,10.394692072133378,19.0,15.0,6452.99,3555.0,262.0,378.14,222.93,656.0
standard,7,4,1552,26.40353861857775,61.0,2.0,499.87,294.5,28.0,258.67,150.0,30.5
standard,7,5,2,0.03402517863218782,1.5,148.0,554794.78,274419.0,671.5,3753.745,1842.23,737.0
standard,7,6,53,0.9016672337529772,5.0,58.0,45179.1,20921.0,280.0,667.6,378.02,727.0
log_standard,2,0,3181,54.117046614494726,332.0,1.0,373.01,206.0,22.0,228.18,125.5,0.0
log_standard,2,1,2697,45.882953385505274,33.0,7.0,2399.82,1401.0,107.0,326.0,190.0,533.0
log_standard,3,0,1520,25.859135760462742,25.0,11.0,4153.389999999999,2350.0,155.5,351.21500000000003,202.54,622.0
log_standard,3,1,2132,36.27084042191221,406.0,1.0,266.895,144.0,16.0,206.12,109.75,0.0
log_standard,3,2,2226,37.87002381762504,72.0,3.0,990.175,550.0,52.0,285.195,164.225,287.5
log_standard,4,0,1180,20.074855392990813,74.5,1.0,338.195,195.0,19.0,216.63,126.0,0.0
log_standard,4,1,1223,20.80639673358285,23.0,13.0,4921.53,2860.0,175.0,368.32,213.4,643.0
log_standard,4,2,1511,25.706022456617898,475.0,1.0,311.77,159.0,19.0,219.85,114.0,0.0
log_standard,4,3,1964,33.412725416808435,70.0,4.0,1248.35,707.0,64.0,287.795,166.0,374.0
log_standard,5,0,1035,17.608029942157195,510.0,1.0,200.1,102.0,12.0,171.81,90.5,0.0
log_standard,5,1,1661,28.25791085403198,51.0,5.0,1376.87,791.0,69.0,289.85,167.6,433.0
log_standard,5,2,1195,20.330044232732224,65.0,1.0,362.71,210.0,20.0,228.86,135.0,0.0
log_standard,5,3,1094,18.611772711806736,20.0,14.0,5472.16,3085.0,184.0,375.255,217.68,649.0
log_standard,5,4,893,15.192242259271863,401.0,3.0,794.41,429.0,47.0,303.5,165.5,139.0
log_robust,2,0,2778,47.26097312010888,34.0,7.0,2346.2250000000004,1386.5,106.5,332.1,194.0,518.0
log_robust,2,1,3100,52.739026879891114,325.5,1.0,360.73,198.0,21.0,219.5,121.0,0.0
