CustomerID,SegmentID,SegmentName,Country,Recency,Frequency,MonetaryValue,TotalItems,UniqueProducts,AverageOrderValue,AverageItemsPerOrder,CustomerLifetimeDays
12346,2,Recent High-Activity,United Kingdom,326,12,77556.46,74285,27,6463.04,6190.42,400
12347,2,Recent High-Activity,Iceland,3,8,4921.53,2967,126,615.19,370.88,402
12348,1,Developing / Moderate,Finland,76,5,2019.4,2714,25,403.88,542.8,363
12349,2,Recent High-Activity,Italy,19,4,4428.69,1624,138,1107.17,406.0,571
12350,0,Inactive Low-Activity,Norway,311,1,334.4,197,17,334.4,197.0,0
12351,0,Inactive Low-Activity,Unspecified,376,1,300.93,261,21,300.93,261.0,0
12352,2,Recent High-Activity,Norway,37,10,2849.84,724,70,284.98,72.4,356
12353,1,Developing / Moderate,Bahrain,205,2,406.76,212,23,203.38,106.0,204
12354,1,Developing / Moderate,Spain,233,1,1079.4,530,58,1079.4,530.0,0
12355,1,Developing / Moderate,Bahrain,215,2,947.61,543,35,473.81,271.5,353
12356,2,Recent High-Activity,Portugal,23,6,6371.73,3416,104,1061.95,569.33,402
12357,2,Recent High-Activity,Switzerland,34,3,18287.66,6587,261,6095.89,2195.67,355
12358,2,Recent High-Activity,Austria,2,5,3887.07,1079,56,777.41,215.8,730
12359,2,Recent High-Activity,Cyprus,58,10,8873.39,2739,305,887.34,273.9,677
12360,2,Recent High-Activity,Austria,53,8,4252.89,2459,160,531.61,307.38,603
12361,1,Developing / Moderate,Belgium,288,4,511.25,235,18,127.81,58.75,395
12362,2,Recent High-Activity,Belgium,4,11,5356.23,2230,201,486.93,202.73,735
12363,1,Developing / Moderate,Unspecified,110,2,552.0,408,23,276.0,204.0,133
12364,1,Developing / Moderate,Belgium,8,4,1313.1,1506,70,328.27,376.5,105
12365,0,Inactive Low-Activity,Cyprus,292,2,641.38,174,22,320.69,87.0,0
12366,0,Inactive Low-Activity,Cyprus,634,1,500.24,296,3,500.24,296.0,0
12367,0,Inactive Low-Activity,Denmark,5,1,168.9,173,11,168.9,173.0,0
12368,0,Inactive Low-Activity,Cyprus,629,1,917.7,330,18,917.7,330.0,0
12369,1,Developing / Moderate,Austria,414,3,1791.15,1241,90,597.05,413.67,228
12370,2,Recent High-Activity,Cyprus,52,7,4316.56,2604,168,616.65,372.0,617
12371,2,Recent High-Activity,Switzerland,45,5,4067.38,1436,134,813.48,287.2,601
12372,1,Developing / Moderate,Denmark,72,3,1298.04,794,34,432.68,264.67,225
12373,1,Developing / Moderate,Austria,312,3,1127.65,516,36,375.88,172.0,362
12374,2,Recent High-Activity,Austria,26,4,2989.22,1362,79,747.31,340.5,563
12375,1,Developing / Moderate,Finland,11,2,457.5,178,14,228.75,89.0,88
12376,0,Inactive Low-Activity,Switzerland,390,2,503.15,240,11,251.57,120.0,28
12377,1,Developing / Moderate,Switzerland,316,4,3426.32,2105,129,856.58,526.25,274
12378,1,Developing / Moderate,Switzerland,130,2,5416.32,3316,281,2708.16,1658.0,433
12379,1,Developing / Moderate,Belgium,82,4,1620.22,815,58,405.06,203.75,453
12380,2,Recent High-Activity,Belgium,22,11,9676.3,3355,156,879.66,305.0,641
12381,1,Developing / Moderate,Norway,5,5,1845.31,808,70,369.06,161.6,115
12383,1,Developing / Moderate,Belgium,185,5,1850.56,1532,84,370.11,306.4,168
12384,1,Developing / Moderate,Switzerland,29,2,585.27,126,26,292.63,63.0,93
12385,0,Inactive Low-Activity,Belgium,380,1,1938.4,612,65,1938.4,612.0,0
12386,0,Inactive Low-Activity,Australia,338,2,401.9,354,10,200.95,177.0,29
12387,0,Inactive Low-Activity,Australia,416,1,143.94,134,9,143.94,134.0,0
12388,2,Recent High-Activity,Australia,16,8,3901.11,2001,83,487.64,250.12,567
12389,1,Developing / Moderate,Australia,403,3,1433.33,614,41,477.78,204.67,253
12390,1,Developing / Moderate,Belgium,80,1,549.84,353,32,549.84,353.0,0
12391,2,Recent High-Activity,Cyprus,22,6,2724.84,1204,241,454.14,200.67,641
12392,0,Inactive Low-Activity,Australia,592,1,234.75,73,7,234.75,73.0,0
12393,1,Developing / Moderate,Australia,73,6,2399.45,1311,63,399.91,218.5,356
12394,1,Developing / Moderate,Belgium,64,2,1272.48,819,26,636.24,409.5,154
12395,2,Recent High-Activity,Belgium,20,15,4721.17,3205,145,314.74,213.67,583
12396,0,Inactive Low-Activity,RSA,675,1,931.43,591,65,931.43,591.0,0
12397,1,Developing / Moderate,Belgium,36,2,2409.9,1263,110,1204.95,631.5,100
12398,1,Developing / Moderate,Switzerland,46,1,1635.66,1394,85,1635.66,1394.0,0
12399,2,Recent High-Activity,Belgium,120,7,1962.3,2198,67,280.33,314.0,525
12400,0,Inactive Low-Activity,Australia,415,1,205.25,91,11,205.25,91.0,0
12401,0,Inactive Low-Activity,Belgium,304,1,84.3,11,5,84.3,11.0,0
12402,1,Developing / Moderate,Belgium,324,6,1256.9,584,43,209.48,97.33,347
12403,1,Developing / Moderate,Denmark,50,2,1019.36,260,5,509.68,130.0,472
12404,0,Inactive Low-Activity,Finland,683,1,63.24,1,1,63.24,1.0,0
12405,1,Developing / Moderate,Finland,149,1,1710.39,857,54,1710.39,857.0,0
12406,2,Recent High-Activity,Denmark,23,5,6390.36,3416,114,1278.07,683.2,675
12407,1,Developing / Moderate,Belgium,50,5,1708.12,1416,57,341.62,283.2,215
12408,2,Recent High-Activity,Belgium,33,8,4340.77,2229,104,542.6,278.62,466
12409,2,Recent High-Activity,Switzerland,79,7,23419.29,13143,177,3345.61,1877.57,487
12410,1,Developing / Moderate,Switzerland,309,3,1013.71,341,36,337.9,113.67,194
12411,0,Inactive Low-Activity,Australia,410,1,346.9,138,22,346.9,138.0,0
12412,2,Recent High-Activity,Denmark,75,6,2596.93,1997,82,432.82,332.83,465
12413,1,Developing / Moderate,France,67,4,999.45,319,41,249.86,79.75,336
12414,1,Developing / Moderate,Austria,218,6,952.41,495,21,158.73,82.5,246
12415,2,Recent High-Activity,Australia,25,28,144458.37,91447,498,5159.23,3265.96,503
12416,0,Inactive Low-Activity,Australia,657,1,202.56,132,11,202.56,132.0,0
12417,2,Recent High-Activity,Belgium,4,20,6797.41,2884,270,339.87,144.2,730
12418,1,Developing / Moderate,Switzerland,113,4,2021.2,1088,90,505.3,272.0,518
12419,0,Inactive Low-Activity,Spain,386,2,503.01,231,23,251.5,115.5,28
12420,1,Developing / Moderate,Cyprus,64,1,600.39,345,29,600.39,345.0,0
12421,1,Developing / Moderate,Spain,16,6,1098.6,652,44,183.1,108.67,490
12422,2,Recent High-Activity,Switzerland,96,17,5231.8,2596,137,307.75,152.71,626
12423,2,Recent High-Activity,Belgium,1,10,2622.39,1793,128,262.24,179.3,465
12424,1,Developing / Moderate,Australia,163,4,3340.03,2025,78,835.01,506.25,386
12425,1,Developing / Moderate,Portugal,79,2,1741.41,1147,87,870.71,573.5,370
12426,1,Developing / Moderate,Germany,195,2,1345.21,584,73,672.61,292.0,468
12427,1,Developing / Moderate,Germany,22,3,825.8,533,26,275.27,177.67,350
12428,2,Recent High-Activity,Finland,26,9,7956.46,3536,258,884.05,392.89,258
12429,2,Recent High-Activity,Denmark,10,8,6204.41,2890,124,775.55,361.25,537
12430,0,Inactive Low-Activity,Norway,44,1,256.4,117,11,256.4,117.0,0
12431,2,Recent High-Activity,Australia,36,27,10432.22,4600,244,386.38,170.37,658
12432,1,Developing / Moderate,Norway,43,5,5059.32,1801,107,1011.86,360.2,130
12433,2,Recent High-Activity,Norway,1,10,16794.14,13534,285,1679.41,1353.4,476
12434,1,Developing / Moderate,Australia,85,3,1103.43,532,62,367.81,177.33,297
12435,2,Recent High-Activity,Denmark,80,6,13925.93,4958,88,2320.99,826.33,658
12436,0,Inactive Low-Activity,Norway,100,1,509.01,211,16,509.01,211.0,0
12437,2,Recent High-Activity,France,2,39,12683.4,8000,273,325.22,205.13,736
12438,1,Developing / Moderate,Norway,15,2,2906.85,1180,84,1453.42,590.0,126
12439,0,Inactive Low-Activity,Cyprus,683,2,1142.88,478,69,571.44,239.0,43
12440,0,Inactive Low-Activity,Austria,463,2,859.2,331,21,429.6,165.5,255
12441,0,Inactive Low-Activity,France,367,1,173.55,121,11,173.55,121.0,0
12442,0,Inactive Low-Activity,Spain,4,1,172.06,182,12,172.06,182.0,0
