CustomerID,Country,Recency,Frequency,MonetaryValue,TotalItems,UniqueProducts,AverageOrderValue,AverageItemsPerOrder,CustomerLifetimeDays
12346,United Kingdom,326,12,77556.46,74285,27,6463.04,6190.42,400
12347,Iceland,3,8,4921.53,2967,126,615.19,370.88,402
12348,Finland,76,5,2019.40,2714,25,403.88,542.80,363
12349,Italy,19,4,4428.69,1624,138,1107.17,406.00,571
12350,Norway,311,1,334.40,197,17,334.40,197.00,0
12351,Unspecified,376,1,300.93,261,21,300.93,261.00,0
12352,Norway,37,10,2849.84,724,70,284.98,72.40,356
12353,Bahrain,205,2,406.76,212,23,203.38,106.00,204
12354,Spain,233,1,1079.40,530,58,1079.40,530.00,0
12355,Bahrain,215,2,947.61,543,35,473.81,271.50,353
12356,Portugal,23,6,6371.73,3416,104,1061.95,569.33,402
12357,Switzerland,34,3,18287.66,6587,261,6095.89,2195.67,355
12358,Austria,2,5,3887.07,1079,56,777.41,215.80,730
12359,Cyprus,58,10,8873.39,2739,305,887.34,273.90,677
12360,Austria,53,8,4252.89,2459,160,531.61,307.38,603
12361,Belgium,288,4,511.25,235,18,127.81,58.75,395
12362,Belgium,4,11,5356.23,2230,201,486.93,202.73,735
12363,Unspecified,110,2,552.00,408,23,276.00,204.00,133
12364,Belgium,8,4,1313.10,1506,70,328.27,376.50,105
12365,Cyprus,292,2,641.38,174,22,320.69,87.00,0
12366,Cyprus,634,1,500.24,296,3,500.24,296.00,0
12367,Denmark,5,1,168.90,173,11,168.90,173.00,0
12368,Cyprus,629,1,917.70,330,18,917.70,330.00,0
12369,Austria,414,3,1791.15,1241,90,597.05,413.67,228
12370,Cyprus,52,7,4316.56,2604,168,616.65,372.00,617
12371,Switzerland,45,5,4067.38,1436,134,813.48,287.20,601
12372,Denmark,72,3,1298.04,794,34,432.68,264.67,225
12373,Austria,312,3,1127.65,516,36,375.88,172.00,362
12374,Austria,26,4,2989.22,1362,79,747.31,340.50,563
12375,Finland,11,2,457.50,178,14,228.75,89.00,88
12376,Switzerland,390,2,503.15,240,11,251.57,120.00,28
12377,Switzerland,316,4,3426.32,2105,129,856.58,526.25,274
12378,Switzerland,130,2,5416.32,3316,281,2708.16,1658.00,433
12379,Belgium,82,4,1620.22,815,58,405.06,203.75,453
12380,Belgium,22,11,9676.30,3355,156,879.66,305.00,641
12381,Norway,5,5,1845.31,808,70,369.06,161.60,115
12383,Belgium,185,5,1850.56,1532,84,370.11,306.40,168
12384,Switzerland,29,2,585.27,126,26,292.63,63.00,93
12385,Belgium,380,1,1938.40,612,65,1938.40,612.00,0
12386,Australia,338,2,401.90,354,10,200.95,177.00,29
12387,Australia,416,1,143.94,134,9,143.94,134.00,0
12388,Australia,16,8,3901.11,2001,83,487.64,250.12,567
12389,Australia,403,3,1433.33,614,41,477.78,204.67,253
12390,Belgium,80,1,549.84,353,32,549.84,353.00,0
